,Mus musculus,Rattus norvegicus,Panthera leo,Triturus cristatus,Ateles paniscus,Branta canadensis,Camelus dromedarius,Cebus albifrons,Crocodylus siamensis,Echinops telfairi,Erinaceus europaeus,Hippopotamus amphibius,Lagothrix lagotricha,Lutra lutra,Macaca mulatta,Mellivora capensis,Microtus xanthognathus,Nasua nasua,Tursiops truncatus,Anas platyrhynchos,Camelus bactrianus,Cavia porcellus,Crocuta crocuta,Elephas maximus,Lama guanicoe,Martes foina,Mustela putorius,Paguma larvata,Sminthopsis crassicaudata,Struthio camelus,Tragelaphus strepsiceros,Tapirus terrestris,Callimico goeldii,Colobus guereza,Lama glama,Macropus giganteus,Phalacrocorax carbo,Papio cynocephalus,Rhinolophus ferrumequinum,Squalus acanthias,Vultur gryphus,Panthera onca,Aquila chrysaetos,Ateles geoffroyi,Balaenoptera acutorostrata,Bos taurus,Ceratotherium simum,Crocodylus niloticus,Dasyurus viverrinus,Equus zebra,Homo sapiens,Papio anubis,Saimiri sciureus,Scalopus aquaticus,Ovis aries,Ursus thibetanus,Accipiter gentilis,Ailuropoda melanoleuca,Alligator mississippiensis,Antrozous pallidus,Canis latrans,Cebus capucinus,Chlorocebus aethiops,Chrysocyon brachyurus,Dasypus novemcinctus,Didelphis virginiana,Equus caballus,Lama vicugna,Physeter catodon,Procyon lotor,Oryctolagus cuniculus,Talpa europaea,Ursus maritimus,Aotus trivirgatus,Bradypus tridactylus,Bubalus bubalis,Caretta caretta,Gallus gallus,Columba livia,Helarctos malayanus,Lepus europaeus,Loxodonta africana,Macropus rufus,Meles meles,Myotis velifer,Ornithorhynchus anatinus,Potorous tridactylus,Tadarida brasiliensis,Thunnus thynnus,Vulpes vulpes,Sus scrofa,Rhea americana,Saguinus fuscicollis,Suncus murinus,Trichechus inunguis,Lemur catta,Lynx lynx,Macropus eugenii,Ondatra zibethicus,Phoca vitulina,Pongo pygmaeus,Pteronura brasiliensis,Rangifer tarandus,Rhinoceros unicornis,Aythya affinis,Aythya marila,Myodes glareolus,Peromyscus leucopus,Marmota flaviventris,Peromyscus maniculatus,Tamias minimus,Peromyscus polionotus,Peromyscus gossypinus,Peromyscus eremicus,Peromyscus boylii,Castor fiber,Marmota caligata,Peromyscus truei,Ammotragus lervia,Mammuthus primigenius,Mesoplodon densirostris,Orycteropus afer,Panthera pardus,Balaenoptera omurai,Panthera tigris,Lipotes vexillifer,Delphinapterus leucas,Sousa chinensis,Ochotona princeps,Branta bernicla,Aythya americana,Cygnus atratus,Melanitta nigra,Melanitta perspicillata,Bucephala albeola,Bos indicus,Neophocaena phocaenoides,Kogia sima,Bison bison,Somateria mollissima,Aythya valisineria,Mergus merganser,Bucephala clangula,Mareca americana,Anas carolinensis,Aythya collaris,Anser albifrons,Lophodytes cucullatus,Histrionicus histrionicus,Tadorna tadornoides,Cygnus columbianus,Cygnus buccinator,Mergus serrator,Spatula clypeata,Melanitta fusca,Anas acuta
Mus musculus
Sminthopsis crassicaudata,2011805.5555555555,2785576.923076923,3714102.564102564,4576351.3513513515,3368604.6511627906,7532142.857142857,3448809.523809524,3532926.8292682925,4866923.076923077,2840196.0784313725,2320447.3684210526,3292045.4545454546,3448809.523809524,3621250.0,3368604.6511627906,3811842.1052631577,2682407.407407407,3532926.8292682925,1352469.1358024692,7715853.658536585,3448809.523809524,3081914.8936170214,3448809.523809524,3448809.523809524,3368604.6511627906,3714102.564102564,3532926.8292682925,3368604.6511627906
Struthio camelus,4218000.0,5858333.333333333,6590625.0,4515333.333333333,6877173.9130434785,12593750.0,5968867.924528302,6877173.9130434785,4619768.518518519,5454310.344827586,7030000.0,6877173.9130434785,6590625.0,7030000.0,6730851.063829787,7189772.7272727275,5272500.0,7189772.7272727275,3857926.8292682925,20150000.0,5968867.924528302,5858333.333333333,6456122.448979592,6327000.0,5968867.924528302,7030000.0,6730851.063829787,6590625.0,7356976.7441860465
Tragelaphus strepsiceros,1134090.9090909092,1712254.9019607843,2568382.3529411764,4639041.095890411,3638541.6666666665,5968867.924528302,2008333.3333333333,3796739.1304347827,4793181.818181818,2129878.048780488,2939233.3333333335,2613157.8947368423,3796739.1304347827,3796739.1304347827,3638541.6666666665,4158333.3333333335,1617129.6296296297,3358653.846153846,1659848.4848484849,6083653.846153846,2008333.3333333333,2079166.6666666667,3234259.2592592593,2728906.25,2008333.3333333333,3969318.1818181816,3796739.1304347827,3493000.0,3081914.8936170214,5968867.924528302
Tapirus terrestris,1164556.9620253164,1840000.0,1885810.810810811,4455921.052631579,3680000.0,6327000.0,3118750.0,3680000.0,4721641.791044776,1630128.2051282052,2844419.35483871,3358653.846153846,4000000.0,2683653.846153846,3285714.285714286,2683653.846153846,1877551.0204081633,2491964.285714286,1542957.7464788733,6456122.448979592,3118750.0,2044444.4444444445,2250806.4516129033,1673026.3157894737,3118750.0,2791000.0,2584259.2592592593,2114393.9393939395,3368604.6511627906,6456122.448979592,3358653.846153846
Callimico goeldii,841139.2405063291,1703846.1538461538,3676851.8518518517,4341666.666666667,4725000.0,7189772.7272727275,3969318.1818181816,4618275.0,4584782.608695652,2659285.714285714,3265814.814814815,4366250.0,2700000.0,7636538.461538462,4177083.3333333335,7091071.428571428,1444565.2173913044,7636538.461538462,1500684.9315068494,7189772.7272727275,3969318.1818181816,1845833.3333333333,4512500.0,3324107.1428571427,3796739.1304347827,7636538.461538462,7091071.428571428,4316304.347826087,3368604.6511627906,6730851.063829787,3638541.6666666665,3407407.407407407
Colobus guereza,1126271.186440678,598648.6486486486,902500.0,2798760.3305785125,234228.9719626168,2727155.172413793,793863.6363636364,304980.42452830187,2680932.2033898304,869859.8130841121,794387.3873873873,801146.7889908256,236438.679245283,945476.1904761905,126893.8679245283,945476.1904761905,582894.7368421053,945476.1904761905,1542957.7464788733,2727155.172413793,793863.6363636364,598648.6486486486,927803.738317757,853899.0825688073,793863.6363636364,945476.1904761905,945476.1904761905,927803.738317757,1293303.5714285714,2775000.0,786711.7117117117,844036.6972477065,234228.9719626168
Lama glama,1105379.746835443,1857978.7234042552,2816935.4838709678,4515333.333333333,3796739.1304347827,5968867.924528302,9750000.0,3358653.846153846,4721641.791044776,2129878.048780488,2939233.3333333335,2256818.1818181816,3638541.6666666665,3358653.846153846,3493000.0,3234259.2592592593,1647641.5094339622,3493000.0,1565000.0,5858333.333333333,9750000.0,1984659.0909090908,2910833.3333333335,3234259.2592592593,3358653.846153846,3234259.2592592593,3011206.896551724,3368604.6511627906,5968867.924528302,2008333.3333333333,3118750.0,3796739.1304347827,793863.6363636364
Macropus giganteus,1857051.282051282,2897000.0,2956122.448979592,4455921.052631579,3714102.564102564,6877173.9130434785,3532926.8292682925,3914864.864864865,4866923.076923077,2785576.923076923,2593441.1764705884,3621250.0,3811842.1052631577,4260294.117647059,3914864.864864865,4260294.117647059,2785576.923076923,3714102.564102564,1335975.6097560977,6730851.063829787,3532926.8292682925,3292045.4545454546,3292045.4545454546,3621250.0,3448809.523809524,4138571.4285714286,4023611.111111111,3292045.4545454546,1537750.0,6590625.0,3368604.6511627906,3368604.6511627906,3714102.564102564,1293303.5714285714,3448809.523809524
Phalacrocorax carbo,4218000.0,5968867.924528302,6456122.448979592,4769718.309859155,7030000.0,10515000.0,5968867.924528302,7030000.0,4891519.607843137,5649107.142857143,7908750.0,7189772.7272727275,6730851.063829787,7532142.857142857,6877173.9130434785,7715853.658536585,5454310.344827586,7715853.658536585,3811445.7831325303,11683333.333333334,5968867.924528302,6456122.448979592,6590625.0,6730851.063829787,5858333.333333333,7532142.857142857,7189772.7272727275,6730851.063829787,7532142.857142857,8395833.333333334,6327000.0,6590625.0,6877173.9130434785,2750869.565217391,5858333.333333333,6877173.9130434785
Papio cynocephalus,874342.1052631579,1661250.0,3545535.714285714,4515333.333333333,2784722.222222222,7030000.0,3358653.846153846,4040990.625,4584782.608695652,2737500.0,3391423.076923077,3796739.1304347827,3132812.5,9927500.0,2010812.5,11030555.555555556,1476666.6666666667,7091071.428571428,1480405.4054054054,7030000.0,3358653.846153846,1748684.2105263157,4727380.952380952,2908593.75,3118750.0,11030555.555555556,9025000.0,4727380.952380952,3448809.523809524,6877173.9130434785,3493000.0,3833333.3333333335,2506250.0,128102.38095238095,3118750.0,4138571.4285714286,7030000.0
Rhinolophus ferrumequinum,1272756.4102564103,2308720.930232558,2745652.1739130435,4455921.052631579,5515277.777777778,7189772.7272727275,3234259.2592592593,5225000.0,4652205.882352941,1864473.6842105263,3674041.6666666665,3796739.1304347827,5515277.777777778,4857692.307692308,5225000.0,4510714.285714285,2068229.1666666667,4210000.0,1521527.7777777778,7189772.7272727275,3234259.2592592593,2612500.0,2526000.0,2530357.1428571427,3118750.0,4857692.307692308,4210000.0,2870454.5454545454,4023611.111111111,6730851.063829787,3234259.2592592593,2406034.4827586208,5225000.0,910779.8165137614,3118750.0,3532926.8292682925,7532142.857142857,5515277.777777778
Squalus acanthias,5118010.752688172,5734638.554216867,5666369.047619048,5063563.829787234,5734638.554216867,5599705.882352941,5534593.023255814,5876234.567901234,5173641.304347826,5949687.5,5599705.882352941,5804573.1707317075,6025000.0,5949687.5,5876234.567901234,5949687.5,5470977.011494253,5804573.1707317075,5063563.829787234,5666369.047619048,5534593.023255814,5599705.882352941,5949687.5,5408806.818181818,5408806.818181818,6025000.0,6025000.0,5949687.5,5666369.047619048,5666369.047619048,5804573.1707317075,5949687.5,5804573.1707317075,4138913.0434782607,5408806.818181818,5470977.011494253,5666369.047619048,6025000.0,5666369.047619048
Vultur gryphus,4108441.5584415584,5751818.181818182,6327000.0,4576351.3513513515,6877173.9130434785,11956250.0,5968867.924528302,6877173.9130434785,4891519.607843137,5361864.406779661,7356976.7441860465,6590625.0,6590625.0,7356976.7441860465,6730851.063829787,7532142.857142857,5272500.0,7532142.857142857,3721764.705882353,10627777.777777778,5968867.924528302,6083653.846153846,6202941.176470588,6456122.448979592,5858333.333333333,7356976.7441860465,7030000.0,6327000.0,7189772.7272727275,9565000.0,5858333.333333333,6083653.846153846,6730851.063829787,2750869.565217391,5858333.333333333,6590625.0,13664285.714285715,6877173.9130434785,7030000.0,5599705.882352941
Panthera onca,1240937.5,2308720.930232558,4455921.052631579,3818269.230769231,6456122.448979592,2816935.4838709678,3676851.8518518517,4584782.608695652,1686904.761904762,2939233.3333333335,2728906.25,3676851.8518518517,2493478.2608695654,3818269.230769231,2606818.1818181816,1909134.6153846155,2730952.380952381,1422727.2727272727,6456122.448979592,2816935.4838709678,2481875.0,2293750.0,1864473.6842105263,2816935.4838709678,2493478.2608695654,2294000.0,2546458.3333333335,3714102.564102564,6590625.0,2568382.3529411764,1885810.810810811,3676851.8518518517,902500.0,2816935.4838709678,2956122.448979592,6456122.448979592,3545535.714285714,2745652.1739130435,5666369.047619048,6327000.0
Aquila chrysaetos,4055769.230769231,5751818.181818182,6202941.176470588,4576351.3513513515,6877173.9130434785,15021428.57142857,5751818.181818182,6877173.9130434785,4797451.923076923,5454310.344827586,7356976.7441860465,6590625.0,6590625.0,7356976.7441860465,6730851.063829787,7532142.857142857,5272500.0,7532142.857142857,3721764.705882353,17525000.0,5751818.181818182,6083653.846153846,6202941.176470588,6456122.448979592,5649107.142857143,7356976.7441860465,7030000.0,6327000.0,7030000.0,11194444.444444444,5858333.333333333,6202941.176470588,6730851.063829787,2727155.172413793,5649107.142857143,6730851.063829787,12103125.0,6877173.9130434785,7030000.0,5534593.023255814,19130000.0,6202941.176470588
Ateles geoffroyi,830625.0,1703846.1538461538,3545535.714285714,4341666.666666667,1462.5,7030000.0,4158333.3333333335,4040990.625,4652205.882352941,2515540.5405405406,3265814.814814815,4158333.3333333335,2925.0,7636538.461538462,3132812.5,7636538.461538462,1444565.2173913044,7091071.428571428,1500684.9315068494,7030000.0,4158333.3333333335,1795945.945945946,3971000.0,3324107.1428571427,3969318.1818181816,8272916.666666667,8272916.666666667,4136458.3333333335,3292045.4545454546,6590625.0,4158333.3333333335,4000000.0,2700000.0,234228.9719626168,3969318.1818181816,3714102.564102564,6730851.063829787,2506250.0,4963750.0,5949687.5,6590625.0,3545535.714285714,6590625.0
Balaenoptera acutorostrata,1404487.1794871795,2608333.3333333335,3912500.0,4398051.948051948,6846875.0,6877173.9130434785,4979545.454545454,6444117.647058823,5021428.571428572,2960810.810810811,4213461.538461538,6086111.111111111,6444117.647058823,5216666.666666667,5765789.47368421,5765789.47368421,2330851.063829787,5765789.47368421,543461.5384615385,7030000.0,4979545.454545454,3423437.5,4763043.478260869,4564583.333333333,4763043.478260869,5477500.0,5216666.666666667,4382000.0,2738750.0,6590625.0,6086111.111111111,4564583.333333333,6444117.647058823,995909.0909090909,4763043.478260869,2960810.810810811,7030000.0,5216666.666666667,4763043.478260869,5804573.1707317075,6456122.448979592,3912500.0,6456122.448979592,7303333.333333333
Bos taurus,1105379.746835443,1746500.0,2646212.121212121,4639041.095890411,3493000.0,5858333.333333333,1928000.0,3638541.6666666665,4584782.608695652,2079166.6666666667,3040586.206896552,2482500.0,3638541.6666666665,3638541.6666666665,3493000.0,3969318.1818181816,1647641.5094339622,3234259.2592592593,1587681.1594202898,5858333.333333333,1928000.0,2129878.048780488,3118750.0,2646212.121212121,1928000.0,3796739.1304347827,3638541.6666666665,3358653.846153846,3017708.3333333335,5751818.181818182,3784500.0,3234259.2592592593,3493000.0,786711.7117117117,1928000.0,3368604.6511627906,6083653.846153846,3358653.846153846,3234259.2592592593,5734638.554216867,5751818.181818182,2646212.121212121,5751818.181818182,3969318.1818181816,5477500.0
Ceratotherium simum,1179487.1794871795,1957446.8085106383,1993571.4285714286,4341666.666666667,4000000.0,6590625.0,3358653.846153846,4380952.380952381,4652205.882352941,1550609.756097561,3265814.814814815,3796739.1304347827,4380952.380952381,3033695.652173913,3680000.0,3322619.0476190476,1957446.8085106383,2791000.0,1542957.7464788733,6730851.063829787,3358653.846153846,2190476.1904761903,2406034.4827586208,1926515.1515151516,3358653.846153846,3171590.909090909,2907291.6666666665,2250806.4516129033,3714102.564102564,6730851.063829787,3796739.1304347827,4831818.181818182,3680000.0,844036.6972477065,3358653.846153846,3532926.8292682925,6730851.063829787,4380952.380952381,2584259.2592592593,5734638.554216867,6456122.448979592,1993571.4285714286,6456122.448979592,4380952.380952381,4763043.478260869,3493000.0
Crocodylus niloticus,3438586.9565217393,4218000.0,4652205.882352941,4639041.095890411,4721641.791044776,4619768.518518519,4793181.818181818,4652205.882352941,1513178.5714285714,4519285.714285715,4721641.791044776,4793181.818181818,4652205.882352941,4793181.818181818,4793181.818181818,4793181.818181818,4275000.0,4866923.076923077,3554494.382022472,4706933.962264151,4793181.818181818,4793181.818181818,4942968.75,5021428.571428572,4793181.818181818,4793181.818181818,4721641.791044776,5021428.571428572,4866923.076923077,4706933.962264151,4866923.076923077,4942968.75,4652205.882352941,2680932.2033898304,4793181.818181818,5021428.571428572,4989350.0,4793181.818181818,4652205.882352941,5288611.111111111,4891519.607843137,4652205.882352941,4797451.923076923,4721641.791044776,5021428.571428572,4652205.882352941,4866923.076923077
