Rate [100.000/div],Count
14,6
13,4
4,4
10,5
29,1
24,5
7,3
28,3
2,1
40,6
33,2
21,3
42,3
55,10
26,3
51,10
9,4
30,4
22,2
32,4
54,13
35,2
15,7
34,4
38,9
31,1
37,5
20,3
0,1
44,2
19,2
27,2
56,5
52,26
53,19
39,5
36,4
50,10
49,9
23,2
16,5
45,1
43,1
12,1
41,1
92,1
6,2
66,1
11,1
1,1
