Rate [100.000/div],Count
46,2
42,5
44,5
35,4
22,16
25,21
40,4
74,54
70,40
75,95
77,31
79,23
34,35
72,41
45,31
47,4
17,15
19,6
27,37
28,9
63,10
16,9
24,5
13,6
21,43
32,7
30,29
29,18
67,28
66,14
26,14
37,1
83,3
33,4
18,1
10,3
7,4
9,6
31,33
0,1
92,2
54,2
49,1
51,2
36,3
69,16
20,12
6,3
71,2
494,8
987,4
592,3
62,1
38,5
48,6
57,6
81,5
741,2
58,5
59,2
52,7
55,1
85,1
15,2
11,9
1481,1
3,2
14,4
423,2
2,2
